entry	name	body_start	body_end	note
89eb0000	stage2_entry_cp0_cache_and_handoff	89eb0000	89eb00d7	High confidence: RAM-resident stage2 entry. Saves boot arguments, edits CP0 config registers, clears a small BSS-like range, sets stack/return trampoline, and jumps onward.
89eb00d8	sub_89eb00d8	89eb00d8	89eb00f3	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb0118	stage2_jump_to_cached_alias	89eb0118	89eb012f	Medium confidence: builds a KSEG0/cached alias using 0xa0000000 masking and jumps through it.
89eb0130	stage2_cache_probe_and_invalidate	89eb0130	89eb0297	Medium confidence: reads CP0 Config1, derives cache geometry, and uses MIPS cache operations over the cache ways/sets.
89eb0298	FUN_89eb0298	89eb0298	89eb02f7	Touches CP0/cache state.
89eb02f8	sub_89eb02f8	89eb02f8	89eb02fb	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb02fc	sub_89eb02fc	89eb02fc	89eb0307	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb0308	sub_89eb0308	89eb0308	89eb030f	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb0310	sub_89eb0310	89eb0310	89eb0317	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb0318	sub_89eb0318	89eb0318	89eb032b	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb032c	stage2_main_handoff_wrapper	89eb032c	89eb0347	Medium confidence: main wrapper after cache setup. Prepares stack locals and calls deeper loader/decompressor routines.
89eb0348	sub_89eb0348	89eb0348	89eb03db	References 0x89da..., likely handoff or external image entry/data.
89eb03dc	sub_89eb03dc	89eb03dc	89eb03df	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb03e0	sub_89eb03e0	89eb03e0	89eb03e7	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb03e8	FUN_89eb03e8	89eb03e8	89eb0403	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb0404	sub_89eb0404	89eb0404	89eb0413	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb0420	FUN_89eb0420	89eb0420	89eb042f	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb0430	sub_89eb0430	89eb0430	89eb043b	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb043c	FUN_89eb043c	89eb043c	89eb04c7	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb04c8	sub_89eb04c8	89eb04c8	89eb04f7	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb04f8	FUN_89eb04f8	89eb04f8	89eb1b67	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb1b68	sub_89eb1b68	89eb1b68	89eb1b6b	No strong automatic classification; name and body are generated from raw MIPS control flow.
89eb1b6c	sub_89eb1b6c	89eb1b6c	89eb1c3f	No strong automatic classification; name and body are generated from raw MIPS control flow.
